anchor_name,module,anchor_signature,anchor_informal,variant_signature,transformation_type,change_description
HasDerivWithinAt.inv,Mathlib.Analysis.Calculus.Deriv.Inv, (hc : HasDerivWithinAt c c' s x) (hx : c x ≠ 0) : HasDerivWithinAt (fun y => (c y)⁻¹) (-c' / c x ^ 2) s x,"Let $c$ be a function defined on a subset $s$ of a normed field $\mathbb{K}$, differentiable within $s$ at a point $x \in s$ with derivative $c'$, and suppose $c(x) \neq 0$. Then the function $y \mapsto (c(y))^{-1}$ has a derivative within $s$ at $x$ given by $-c' / (c(x))^2$.", (hx : c x ≠ 0) : HasDerivWithinAt (fun y => (c y)⁻¹) (-c' / c x ^ 2) s x,generalization,Removed hypothesis (hc : HasDerivWithinAt c c' s x)
Seminorm.ball_finset_sup,Mathlib.Analysis.Seminorm, (p : ι → Seminorm 𝕜 E) (s : Finset ι) (x : E) {r : ℝ} (hr : 0 < r) : ball (s.sup p) x r = s.inf fun i => ball (p i) x r,"Let $\mathbb{K}$ be a normed ring and $E$ a module over $\mathbb{K}$. Given a family of seminorms $(p_i)_{i \in \iota}$ on $E$, a finite subset $s \subseteq \iota$, a point $x \in E$, and a positive real number $r > 0$, the open ball of radius $r$ centered at $x$ with respect to the seminorm $\sup_{i \in s} p_i$ is equal to the infimum (as sets) of the open balls of radius $r$ centered at $x$ with respect to each seminorm $p_i$ for $i \in s$. That is,
\[
B_{\sup_{i \in s} p_i}(x, r) = \bigsqcap_{i \in s} B_{p_i}(x, r).
\]", (p : ι → Seminorm 𝕜 E) (s : Finset ι) (x : E) {r : ℝ} (hr : 0 < r) : ball (s.sup p) x r ≠ s.inf fun i => ball (p i) x r,negation,Changed = to ≠
Seminorm.ball_finset_sup,Mathlib.Analysis.Seminorm, (p : ι → Seminorm 𝕜 E) (s : Finset ι) (x : E) {r : ℝ} (hr : 0 < r) : ball (s.sup p) x r = s.inf fun i => ball (p i) x r,"Let $\mathbb{K}$ be a normed ring and $E$ a module over $\mathbb{K}$. Given a family of seminorms $(p_i)_{i \in \iota}$ on $E$, a finite subset $s \subseteq \iota$, a point $x \in E$, and a positive real number $r > 0$, the open ball of radius $r$ centered at $x$ with respect to the seminorm $\sup_{i \in s} p_i$ is equal to the infimum (as sets) of the open balls of radius $r$ centered at $x$ with respect to each seminorm $p_i$ for $i \in s$. That is,
\[
B_{\sup_{i \in s} p_i}(x, r) = \bigsqcap_{i \in s} B_{p_i}(x, r).
\]", (s : Finset ι) (x : E) {r : ℝ} (hr : 0 < r) : ball (s.sup p) x r = s.inf fun i => ball (p i) x r,generalization,Removed hypothesis (p : ι → Seminorm 𝕜 E)
WeierstrassCurve.c₆_of_isCharTwoJNeZeroNF,Mathlib.AlgebraicGeometry.EllipticCurve.NormalForms, : W.c₆ = -W.b₂ ^ 3 - 864 * W.a₆,"For a Weierstrass curve $W$ in the normal form of characteristic 2 with nonzero $j$-invariant, the coefficient $c_6$ satisfies the relation $c_6 = -b_2^3 - 864a_6$, where $b_2$ and $a_6$ are coefficients of the curve's equation.", : W.c₆ ≠ -W.b₂ ^ 3 - 864 * W.a₆,negation,Changed = to ≠
intervalIntegral.integral_const',Mathlib.MeasureTheory.Integral.IntervalIntegral.Basic," [CompleteSpace E] (c : E) : ∫ _ in a..b, c ∂μ = (μ.real (Ioc a b) - μ.real (Ioc b a)) • c","Let $E$ be a complete normed space and $c \in E$ be a constant. For any real numbers $a, b$ and measure $\mu$ on $\mathbb{R}$, the integral of the constant function $c$ over the interval $[a, b]$ with respect to $\mu$ is given by:
\[ \int_{a}^{b} c \, d\mu = (\mu(\text{Ioc}(a, b)) - \mu(\text{Ioc}(b, a))) \cdot c \]
where $\text{Ioc}(a, b)$ denotes the half-open interval $(a, b]$."," [CompleteSpace E] (c : E) : ∫ _ in a..b, c ∂μ ≠ (μ.real (Ioc a b) - μ.real (Ioc b a)) • c",negation,Changed = to ≠
intervalIntegral.integral_const',Mathlib.MeasureTheory.Integral.IntervalIntegral.Basic," [CompleteSpace E] (c : E) : ∫ _ in a..b, c ∂μ = (μ.real (Ioc a b) - μ.real (Ioc b a)) • c","Let $E$ be a complete normed space and $c \in E$ be a constant. For any real numbers $a, b$ and measure $\mu$ on $\mathbb{R}$, the integral of the constant function $c$ over the interval $[a, b]$ with respect to $\mu$ is given by:
\[ \int_{a}^{b} c \, d\mu = (\mu(\text{Ioc}(a, b)) - \mu(\text{Ioc}(b, a))) \cdot c \]
where $\text{Ioc}(a, b)$ denotes the half-open interval $(a, b]$."," (c : E) : ∫ _ in a..b, c ∂μ = (μ.real (Ioc a b) - μ.real (Ioc b a)) • c",generalization,Removed typeclass [CompleteSpace E]
limsInf_nhds,Mathlib.Topology.Algebra.Order.LiminfLimsup, (a : α) : limsInf (𝓝 a) = a,"Let $\alpha$ be a conditionally complete linear order equipped with the order topology. For any element $a \in \alpha$, the limit inferior of the neighborhood filter of $a$ equals $a$, i.e., $\liminf \mathcal{N}(a) = a$.", (a : α) : limsInf (𝓝 a) ≠ a,negation,Changed = to ≠
limsInf_nhds,Mathlib.Topology.Algebra.Order.LiminfLimsup, (a : α) : limsInf (𝓝 a) = a,"Let $\alpha$ be a conditionally complete linear order equipped with the order topology. For any element $a \in \alpha$, the limit inferior of the neighborhood filter of $a$ equals $a$, i.e., $\liminf \mathcal{N}(a) = a$.", : limsInf (𝓝 a) = a,generalization,Removed hypothesis (a : α)
Polynomial.aeval_eq_zero_of_dvd_aeval_eq_zero,Mathlib.Algebra.Polynomial.AlgebraMap, [CommSemiring S] [CommSemiring T] [Algebra S T] {p q : S[X]} (h₁ : p ∣ q) {a : T} (h₂ : aeval a p = 0) : aeval a q = 0,"Let $S$ and $T$ be commutative semirings with $T$ an $S$-algebra. For any polynomials $p, q \in S[X]$ such that $p$ divides $q$, and for any element $a \in T$, if the evaluation of $p$ at $a$ is zero (i.e., $\text{aeval}_a(p) = 0$), then the evaluation of $q$ at $a$ is also zero (i.e., $\text{aeval}_a(q) = 0$).", [CommSemiring S] [CommSemiring T] [Algebra S T] {p q : S[X]} (h₁ : p ∣ q) {a : T} (h₂ : aeval a p = 0) : aeval a q ≠ 0,negation,Changed = to ≠
Polynomial.aeval_eq_zero_of_dvd_aeval_eq_zero,Mathlib.Algebra.Polynomial.AlgebraMap, [CommSemiring S] [CommSemiring T] [Algebra S T] {p q : S[X]} (h₁ : p ∣ q) {a : T} (h₂ : aeval a p = 0) : aeval a q = 0,"Let $S$ and $T$ be commutative semirings with $T$ an $S$-algebra. For any polynomials $p, q \in S[X]$ such that $p$ divides $q$, and for any element $a \in T$, if the evaluation of $p$ at $a$ is zero (i.e., $\text{aeval}_a(p) = 0$), then the evaluation of $q$ at $a$ is also zero (i.e., $\text{aeval}_a(q) = 0$).", [CommSemiring T] [Algebra S T] {p q : S[X]} (h₁ : p ∣ q) {a : T} (h₂ : aeval a p = 0) : aeval a q = 0,generalization,Removed typeclass [CommSemiring S]
IsSumSq.rec',Mathlib.Algebra.Ring.SumsOfSquares," [Mul R] [Add R] [Zero R] {motive : (s : R) → (h : IsSumSq s) → Prop} (zero : motive 0 zero)
  (sq_add :
    ∀ {x s},
      (hx : IsSquare x) →
        (hs : IsSumSq s) → motive s hs → motive (x + s) (by rcases hx with ⟨_, rfl⟩; exact sq_add _ hs))
  {s : R} (h : IsSumSq s) : motive s h","Let $R$ be a type with multiplication, addition, and zero. Given a predicate `motive` on elements of $R$ that are sums of squares, if:
1. `motive` holds for $0$ (the base case), and
2. For any $x$ that is a square in $R$ and any sum of squares $s$ for which `motive` holds, `motive` also holds for $x + s$,

then `motive` holds for every sum of squares $s \in R$."," [Mul R] [Add R] [Zero R] {motive : (s : R) → (h : IsSumSq s) → Prop} (zero : motive 0 zero)
  (sq_add :
    ∀ {x s},
      (hx : IsSquare x) →
        (hs : IsSumSq s) → motive s hs → motive (x + s) (by rcases hx with ⟨_, rfl⟩; exact sq_add _ hs))
  {s : R} (h : IsSumSq s) : ¬(motive s h)",negation,Negated conclusion with ¬
IsSumSq.rec',Mathlib.Algebra.Ring.SumsOfSquares," [Mul R] [Add R] [Zero R] {motive : (s : R) → (h : IsSumSq s) → Prop} (zero : motive 0 zero)
  (sq_add :
    ∀ {x s},
      (hx : IsSquare x) →
        (hs : IsSumSq s) → motive s hs → motive (x + s) (by rcases hx with ⟨_, rfl⟩; exact sq_add _ hs))
  {s : R} (h : IsSumSq s) : motive s h","Let $R$ be a type with multiplication, addition, and zero. Given a predicate `motive` on elements of $R$ that are sums of squares, if:
1. `motive` holds for $0$ (the base case), and
2. For any $x$ that is a square in $R$ and any sum of squares $s$ for which `motive` holds, `motive` also holds for $x + s$,

then `motive` holds for every sum of squares $s \in R$."," [Add R] [Zero R] {motive : (s : R) → (h : IsSumSq s) → Prop} (zero : motive 0 zero)
  (sq_add :
    ∀ {x s},
      (hx : IsSquare x) →
        (hs : IsSumSq s) → motive s hs → motive (x + s) (by rcases hx with ⟨_, rfl⟩; exact sq_add _ hs))
  {s : R} (h : IsSumSq s) : motive s h",generalization,Removed typeclass [Mul R]
DiffContOnCl.neg,Mathlib.Analysis.Calculus.DiffContOnCl, (hf : DiffContOnCl 𝕜 f s) : DiffContOnCl 𝕜 (-f) s,"Let $\mathbb{K}$ be a nontrivially normed field, and let $E$ and $F$ be normed spaces over $\mathbb{K}$. If a function $f : E \to F$ is differentiable on a set $s \subseteq E$ and continuous on its closure $\overline{s}$, then the function $-f$ defined by $x \mapsto -f(x)$ is also differentiable on $s$ and continuous on $\overline{s}$.", (hf : DiffContOnCl 𝕜 f s) : ¬(DiffContOnCl 𝕜 (-f) s),negation,Negated conclusion with ¬
DiffContOnCl.neg,Mathlib.Analysis.Calculus.DiffContOnCl, (hf : DiffContOnCl 𝕜 f s) : DiffContOnCl 𝕜 (-f) s,"Let $\mathbb{K}$ be a nontrivially normed field, and let $E$ and $F$ be normed spaces over $\mathbb{K}$. If a function $f : E \to F$ is differentiable on a set $s \subseteq E$ and continuous on its closure $\overline{s}$, then the function $-f$ defined by $x \mapsto -f(x)$ is also differentiable on $s$ and continuous on $\overline{s}$.", : DiffContOnCl 𝕜 (-f) s,generalization,Removed hypothesis (hf : DiffContOnCl 𝕜 f s)
MeasureTheory.L1.SimpleFunc.setToL1SCLM_mono_left',Mathlib.MeasureTheory.Integral.SetToL1," {T T' : Set α → E →L[ℝ] G''} {C C' : ℝ} (hT : DominatedFinMeasAdditive μ T C) (hT' : DominatedFinMeasAdditive μ T' C')
  (hTT' : ∀ s, MeasurableSet s → μ s < ∞ → ∀ x, T s x ≤ T' s x) (f : α →₁ₛ[μ] E) :
  setToL1SCLM α E μ hT f ≤ setToL1SCLM α E μ hT' f","Let $T, T' \colon \mathcal{P}(\alpha) \to E \toL[\mathbb{R}] G''$ be two set functions that are dominated and finitely measure-additive with constants $C$ and $C'$ respectively, where $E$ and $G''$ are normed spaces over $\mathbb{R}$. Suppose that for every measurable set $s \subseteq \alpha$ with finite measure $\mu(s) < \infty$, and for every $x \in E$, we have $T(s)(x) \leq T'(s)(x)$. Then, for any integrable simple function $f \in L^1_{\text{simple}}(\mu, E)$, the extension $\text{setToL1SCLM}(T)(f) \leq \text{setToL1SCLM}(T')(f)$."," {T T' : Set α → E →L[ℝ] G''} {C C' : ℝ} (hT : DominatedFinMeasAdditive μ T C) (hT' : DominatedFinMeasAdditive μ T' C')
  (hTT' : ∀ s, MeasurableSet s → μ s < ∞ → ∀ x, T s x ≤ T' s x) (f : α →₁ₛ[μ] E) : ¬(setToL1SCLM α E μ hT f ≤ setToL1SCLM α E μ hT' f)",negation,Negated conclusion with ¬
MeasureTheory.L1.SimpleFunc.setToL1SCLM_mono_left',Mathlib.MeasureTheory.Integral.SetToL1," {T T' : Set α → E →L[ℝ] G''} {C C' : ℝ} (hT : DominatedFinMeasAdditive μ T C) (hT' : DominatedFinMeasAdditive μ T' C')
  (hTT' : ∀ s, MeasurableSet s → μ s < ∞ → ∀ x, T s x ≤ T' s x) (f : α →₁ₛ[μ] E) :
  setToL1SCLM α E μ hT f ≤ setToL1SCLM α E μ hT' f","Let $T, T' \colon \mathcal{P}(\alpha) \to E \toL[\mathbb{R}] G''$ be two set functions that are dominated and finitely measure-additive with constants $C$ and $C'$ respectively, where $E$ and $G''$ are normed spaces over $\mathbb{R}$. Suppose that for every measurable set $s \subseteq \alpha$ with finite measure $\mu(s) < \infty$, and for every $x \in E$, we have $T(s)(x) \leq T'(s)(x)$. Then, for any integrable simple function $f \in L^1_{\text{simple}}(\mu, E)$, the extension $\text{setToL1SCLM}(T)(f) \leq \text{setToL1SCLM}(T')(f)$."," {T T' : Set α → E →L G''} {C C' : ℝ} (hT : DominatedFinMeasAdditive μ T C) (hT' : DominatedFinMeasAdditive μ T' C')
  (hTT' : ∀ s, MeasurableSet s → μ s < ∞ → ∀ x, T s x ≤ T' s x) (f : α →₁ₛ[μ] E) :
  setToL1SCLM α E μ hT f ≤ setToL1SCLM α E μ hT' f",generalization,Removed typeclass [ℝ]
StrictMono.orderIsoOfSurjective_self_symm_apply,Mathlib.Order.Hom.Set, (b : β) : f ((orderIsoOfSurjective f h_mono h_surj).symm b) = b,"For any element $b$ in a preordered set $\beta$, if $f : \alpha \to \beta$ is a strictly monotone and surjective function from a linearly ordered set $\alpha$ to $\beta$, then applying $f$ to the inverse of the order isomorphism induced by $f$ at $b$ yields $b$ itself, i.e., $f(f^{-1}(b)) = b$.", (b : β) : f ((orderIsoOfSurjective f h_mono h_surj).symm b) ≠ b,negation,Changed = to ≠
StrictMono.orderIsoOfSurjective_self_symm_apply,Mathlib.Order.Hom.Set, (b : β) : f ((orderIsoOfSurjective f h_mono h_surj).symm b) = b,"For any element $b$ in a preordered set $\beta$, if $f : \alpha \to \beta$ is a strictly monotone and surjective function from a linearly ordered set $\alpha$ to $\beta$, then applying $f$ to the inverse of the order isomorphism induced by $f$ at $b$ yields $b$ itself, i.e., $f(f^{-1}(b)) = b$.", : f ((orderIsoOfSurjective f h_mono h_surj).symm b) = b,generalization,Removed hypothesis (b : β)
Lean.Order.Array.monotone_anyM,Init.Internal.Order.Lemmas," {m : Type → Type v} [Monad m] [∀ α, PartialOrder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : monotone (fun x => xs.anyM (f x) start stop)","Let $m$ be a monad such that for every type $\alpha$, $m \alpha$ is equipped with a partial order and the bind operation is monotone in both arguments. Given a type $\alpha$, an array `xs` of type `Array α`, natural numbers `start` and `stop`, and a monotone function $f \colon \gamma \to \alpha \to m \text{Bool}$, the function $\lambda x. \text{xs.anyM } (f x) \text{ } start \text{ } stop$ from $\gamma$ to $m \text{Bool}$ is monotone."," {m : Type → Type v} [Monad m] [∀ α, PartialOrder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : ¬(monotone (fun x => xs.anyM (f x) start stop))",negation,Negated conclusion with ¬
Lean.Order.Array.monotone_anyM,Init.Internal.Order.Lemmas," {m : Type → Type v} [Monad m] [∀ α, PartialOrder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : monotone (fun x => xs.anyM (f x) start stop)","Let $m$ be a monad such that for every type $\alpha$, $m \alpha$ is equipped with a partial order and the bind operation is monotone in both arguments. Given a type $\alpha$, an array `xs` of type `Array α`, natural numbers `start` and `stop`, and a monotone function $f \colon \gamma \to \alpha \to m \text{Bool}$, the function $\lambda x. \text{xs.anyM } (f x) \text{ } start \text{ } stop$ from $\gamma$ to $m \text{Bool}$ is monotone."," {m : Type → Type v} [Monad m] [∀ α, Preorder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : monotone (fun x => xs.anyM (f x) start stop)",generalization,Generalized: PartialOrder → Preorder
Lean.Order.Array.monotone_anyM,Init.Internal.Order.Lemmas," {m : Type → Type v} [Monad m] [∀ α, PartialOrder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : monotone (fun x => xs.anyM (f x) start stop)","Let $m$ be a monad such that for every type $\alpha$, $m \alpha$ is equipped with a partial order and the bind operation is monotone in both arguments. Given a type $\alpha$, an array `xs` of type `Array α`, natural numbers `start` and `stop`, and a monotone function $f \colon \gamma \to \alpha \to m \text{Bool}$, the function $\lambda x. \text{xs.anyM } (f x) \text{ } start \text{ } stop$ from $\gamma$ to $m \text{Bool}$ is monotone."," {m : Type → Type v} [Monad m] [∀ α, LinearOrder (m α)] [MonoBind m] {α : Type u} (f : γ → α → m Bool) (xs : Array α)
  (start stop : Nat) (hmono : monotone f) : monotone (fun x => xs.anyM (f x) start stop)",specialization,Specialized: PartialOrder → LinearOrder
not_surjective_of_ordinal_of_small,Mathlib.SetTheory.Ordinal.Family, {α : Type v} [Small.{u} α] (f : α → Ordinal.{u}) : ¬Surjective f,"For any type $\alpha$ in universe $v$ that is $u$-small, there is no surjective function $f \colon \alpha \to \text{Ordinal}_{u}$ from $\alpha$ to the ordinals in universe $u$.", {α : Type v} [Small.{u} α] (f : α → Ordinal.{u}) : Surjective f,negation,Removed ¬ from conclusion
not_surjective_of_ordinal_of_small,Mathlib.SetTheory.Ordinal.Family, {α : Type v} [Small.{u} α] (f : α → Ordinal.{u}) : ¬Surjective f,"For any type $\alpha$ in universe $v$ that is $u$-small, there is no surjective function $f \colon \alpha \to \text{Ordinal}_{u}$ from $\alpha$ to the ordinals in universe $u$.", {α : Type v} (f : α → Ordinal.{u}) : ¬Surjective f,generalization,Removed typeclass [Small.{u} α]
TruncatedWittVector.truncate_comp,Mathlib.RingTheory.WittVector.Truncated," {n₁ n₂ n₃ : ℕ} (h1 : n₁ ≤ n₂) (h2 : n₂ ≤ n₃) :
  (truncate (p := p) (R := R) h1).comp (truncate h2) = truncate (h1.trans h2)","For natural numbers $n_1 \leq n_2 \leq n_3$, the composition of the truncation homomorphism from $\text{TruncatedWittVector}_p(n_3, R)$ to $\text{TruncatedWittVector}_p(n_2, R)$ followed by the truncation homomorphism from $\text{TruncatedWittVector}_p(n_2, R)$ to $\text{TruncatedWittVector}_p(n_1, R)$ is equal to the direct truncation homomorphism from $\text{TruncatedWittVector}_p(n_3, R)$ to $\text{TruncatedWittVector}_p(n_1, R)$. That is,
\[ \text{truncate}_{n_1,n_2} \circ \text{truncate}_{n_2,n_3} = \text{truncate}_{n_1,n_3}. \]", {n₁ n₂ n₃ : ℕ} (h1 : n₁ ≤ n₂) (h2 : n₂ ≤ n₃) : (truncate (p := p) (R := R) h1).comp (truncate h2) ≠ truncate (h1.trans h2),negation,Changed = to ≠
TruncatedWittVector.truncate_comp,Mathlib.RingTheory.WittVector.Truncated," {n₁ n₂ n₃ : ℕ} (h1 : n₁ ≤ n₂) (h2 : n₂ ≤ n₃) :
  (truncate (p := p) (R := R) h1).comp (truncate h2) = truncate (h1.trans h2)","For natural numbers $n_1 \leq n_2 \leq n_3$, the composition of the truncation homomorphism from $\text{TruncatedWittVector}_p(n_3, R)$ to $\text{TruncatedWittVector}_p(n_2, R)$ followed by the truncation homomorphism from $\text{TruncatedWittVector}_p(n_2, R)$ to $\text{TruncatedWittVector}_p(n_1, R)$ is equal to the direct truncation homomorphism from $\text{TruncatedWittVector}_p(n_3, R)$ to $\text{TruncatedWittVector}_p(n_1, R)$. That is,
\[ \text{truncate}_{n_1,n_2} \circ \text{truncate}_{n_2,n_3} = \text{truncate}_{n_1,n_3}. \]"," {n₁ n₂ n₃ : ℕ} (h2 : n₂ ≤ n₃) :
  (truncate (p := p) (R := R) h1).comp (truncate h2) = truncate (h1.trans h2)",generalization,Removed hypothesis (h1 : n₁ ≤ n₂)
absConvexHull_add_subset,Mathlib.Analysis.LocallyConvex.AbsConvex, {s t : Set E} : absConvexHull 𝕜 (s + t) ⊆ absConvexHull 𝕜 s + absConvexHull 𝕜 t,"For any subsets $s$ and $t$ of a vector space $E$ over a seminormed ring $\mathbb{K}$, the absolutely convex hull of the Minkowski sum $s + t$ is contained in the Minkowski sum of the absolutely convex hulls of $s$ and $t$, i.e.,
\[ \text{absConvexHull}_{\mathbb{K}}(s + t) \subseteq \text{absConvexHull}_{\mathbb{K}}(s) + \text{absConvexHull}_{\mathbb{K}}(t). \]", {s t : Set E} : ¬(absConvexHull 𝕜 (s + t) ⊆ absConvexHull 𝕜 s + absConvexHull 𝕜 t),negation,Negated conclusion with ¬
